Algorithm;Parameters;FrameWork;balanced_accuracy;recall;precision;accuracy;f1;macro_recall;macro_precision;macro_accuracy;macro_f1
DecisionTree;max_depth = 20;R;0.931251324222681;0.9111111111111109;0.9111111111111109;0.9111111111111109;0.9111111111111109;0.9077380952380949;0.916666666666667;0.9407407407407409;0.909502262443439
RandomForest;;R;0.9154583134699928;0.8888888888888891;0.8888888888888891;0.8888888888888891;0.8888888888888891;0.8869047619047621;0.8898944193061841;0.9259259259259259;0.887766554433221
LogisticRegression;;R;0.966555100905768;0.9555555555555559;0.9555555555555559;0.9555555555555559;0.9555555555555559;0.955357142857143;0.955357142857143;0.97037037037037;0.955357142857143
XGboost;;R;0.9154583134699928;0.8888888888888891;0.8888888888888891;0.8888888888888891;0.8888888888888891;0.8869047619047621;0.8898944193061841;0.9259259259259259;0.887766554433221
SVM - Nu-classification;kernel = radial, gamma = 8;R;0.884342280664583;0.844444444444444;0.844444444444444;0.844444444444444;0.844444444444444;0.8454365079365079;0.8575163398692809;0.8962962962962959;0.8471582181259599
DecisionTree;max_depth = 20;scikit-learn;0.9696969696969696;0.9777777777777776;0.9777777777777776;0.9777777777777776;0.9777777777777776;0.9696969696969696;0.9803921568627452;;0.974025974025974
RandomForest;;scikit-learn;0.9488636363636364;0.9555555555555556;0.9555555555555556;0.9555555555555556;0.9555555555555556;0.9488636363636364;0.9488636363636364;;0.9488636363636364
LogisticRegression;;scikit-learn;0.9488636363636364;0.9555555555555556;0.9555555555555556;0.9555555555555556;0.9555555555555556;0.9488636363636364;0.9488636363636364;;0.9488636363636364
XGboost;;scikit-learn;0.9280303030303032;0.9333333333333332;0.9333333333333332;0.9333333333333332;0.9333333333333332;0.9280303030303032;0.9222222222222222;;0.9242636746143056
SVM - Nu-classification;kernel = rbf, gamma = 8;scikit-learn;0.8956228956228957;0.8888888888888888;0.8888888888888888;0.8888888888888888;0.8888888888888888;0.8956228956228957;0.9206349206349206;;0.8974152724152725
